Loop,Source,Scenario,RiseTime,SettlingTime,SettlingMin,SettlingMax,Overshoot,Undershoot,DecayRatio,Peak,PeakTime,IAE,ISE,ITAE,ITSE,SteadyStateValue,PerformanceIndex
FIC-100,Python,Setpoint,80.5,144.0,59.004289256189445,60.000080847904535,0.0008084790453466439,0.0,2.5716015261497094,60.000080847904535,476.5,361.0788196495662,1777.5144014067448,13318.649320895547,32448.573959488116,60.0,1.8014022112677046
FIC-100,HYSYS,Setpoint,81.0,136.5,59.0067,60.0154,0.15399999999999636,0.0,2.555555555549415,60.0154,1211.5,388.4125000000003,1875.88260609,46423.50877500043,34829.02142990751,60.0,1.8150124999999986
FIC-101,Python,Setpoint,81.5,146.0,59.01075201473338,60.000552041351526,0.00552041351525645,0.0,0.5150365983800823,60.000552041351526,360.0,363.9301283611295,1778.7663857936261,13975.897076619498,32665.727953641872,60.0,1.8261382937672321
FIC-101,HYSYS,Setpoint,78.0,140.0,59.0133,60.0,0.0,0.0,,59.9964,2944.0,381.1686750000002,1827.9350548124999,41688.46522500035,32750.279451802504,60.0,1.7811686750000004
FIC-102,Python,Setpoint,82.0,146.5,59.00930824913379,60.00055041446885,0.005504144688472934,0.0,0.9924022552119137,60.00055041446885,763.0,365.4596844139255,1781.1927740221909,14427.555797247716,32843.495431847936,60.0,1.8326613422893145
FIC-102,HYSYS,Setpoint,78.0,140.0,59.0191,60.0018,0.018000000000029104,0.0,2.9999999999289457,60.0018,474.0,362.63560000000047,1822.4584899600004,16585.885950000593,32358.02943279999,60.0,1.7698356000000124
LIC-100,Python,Setpoint-Tight,597.5,754.0,59.00487898647609,60.00004191490705,0.0004191490705096612,0.0,1.225209994552446,60.00004191490705,1117.0,3855.9979105682405,26026.782259208707,980933.015879496,4941499.60007546,60.0,1.1630245892780242
LIC-100,Python,Setpoint-Averaging,8176.0,14572.5,59.00004990207916,60.0,0.0,0.0,,59.99427841115777,29400.0,37351.67062477748,187497.03310434456,138783078.47345492,349036309.13133067,60.0,18.681292920895658
LIC-100,HYSYS,Setpoint-Tight,620.0,785.5,59.0033,60.0,0.0,0.07699999999999818,,59.9916,1531.5,4267.116549999939,27162.549606419998,4819351.228798948,5395196.7100547515,60.0,1.2369506683673406
LIC-100,HYSYS,Setpoint-Averaging,12638.0,,59.0,60.0,0.0,5.893999999999977,,59.3206,29393.5,58532.5506,257988.28702484997,441712002.647225,774009433.1066105,60.0,
TIC-100,Python,Setpoint-Syn,1900.0,7047.5,59.0003160680467,60.0,0.0,0.0,,59.9897182916113,19400.0,16693.004071571,107262.84108598034,27461626.051352773,74378682.75370035,60.0,13.47958825849036
TIC-100,Python,Setpoint-QDR,1714.0,4093.0,59.001582798337935,60.90194506766855,9.019450676685494,0.0,0.01912380173784814,60.90194506766855,3104.5,15301.623712197277,107311.68541885079,15672133.927598853,72906781.96156715,60.0,12.303392184931509
TIC-100,Python,Setpoint-IAE,1975.0,11022.5,59.00027810816141,60.0,0.0,0.0,,59.952488692322845,19400.0,18913.7326042076,107413.98838966264,46762172.51261549,81400248.60217986,60.0,19.96990710374344
TIC-100,Python,Disturbance-Syn,,4059.0,49.99796175481354,51.08105081813383,2.162101636267664,0.004076490372924013,,51.08105081813383,1032.5,5274.559818523527,3114.7191806616793,23687627.042188283,8075046.674342601,50.0,7.304775494255216
TIC-100,Python,Disturbance-QDR,,1525.5,49.94595133627213,50.89160442628408,1.7832088525681655,0.10809732745573797,0.034195872467450476,50.89160442628408,754.0,1307.9432896595752,818.2750219719978,1568514.3018647714,757432.5564160908,50.0,3.112756013903336
TIC-100,Python,Disturbance-IAE,,1640.5,49.77971165793512,50.99058449905313,1.9811689981062557,0.44057668412976625,0.02983754432437579,50.99058449905313,820.0,1729.7441464502485,1073.8869411051894,2937622.734022313,1143183.7359822423,50.0,3.3828205109883864
TIC-100,HYSYS,Setpoint-Syn,4020.0,11000.5,59.0,60.0,0.0,0.0,,59.976,19385.5,21358.412949999998,113016.71476774,54486558.413675,99420780.05094366,60.0,20.313929837628862
TIC-100,HYSYS,Disturbance-Syn,,3612.5,50.0,50.9318,1.8636000000000053,0.0,,50.9318,1044.5,4654.894574999999,2419.8837834775,20818074.53065,6349850.373121789,50.0,6.475746017783507
TIC-100,HYSYS,Setpoint-QDR,1905.0,4037.5,59.0018,60.2858,2.8580000000000183,0.0,0.02484254723583335,60.2858,3538.5,15072.023700000016,106802.08101815,14810191.764175275,72724342.87504473,60.0,9.717482015463927
TIC-100,HYSYS,Disturbance-QDR,,1566.5,49.8941,50.7945,1.5889999999999986,0.21179999999999666,0.016052880075539355,50.7945,800.5,1386.8344000000095,727.66235312,2126566.316600135,754805.69433274,50.0,3.1009144659793813
TIC-100,HYSYS,Setpoint-IAE,5505.0,15063.5,59.0001,60.0,0.0,0.0,,59.9075,19397.5,24555.210775,115798.88937787752,85081711.88145,123706810.20808876,60.0,27.091269707474225
TIC-100,HYSYS,Disturbance-IAE,,1704.5,49.7244,50.8968,1.7935999999999979,0.5511999999999944,0.08345428156750173,50.8968,876.5,1948.5422500000068,1017.00172258,4385419.14692511,1320040.7794287025,50.0,3.4135289355670095
